903491842456526848,Wow 😂😂😂😂😂😂,Fri Sep 01 00:36:55 CDT 2017,"29.746933,-95.365219",WinkWestwood,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903492112460660737,"I have a heart as deep as #Texas, as they say, but even my emotional “piggy bank” is feeling… https://t.co/cyyorroUwo",Fri Sep 01 00:38:00 CDT 2017,"29.76182363,-95.39310088",rebeccamg,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903492486529597442,"New LeeLonn, soon. @ Houston, Texas https://t.co/FNKvmtn3IG",Fri Sep 01 00:39:29 CDT 2017,"29.7629,-95.3832",LeeLonn,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903492701068201984,"New LeeLonn, soon. (Listen to the end) @ Houston, Texas https://t.co/FNKvmtn3IG",Fri Sep 01 00:40:20 CDT 2017,"29.7629,-95.3832",LeeLonn,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903492893343490048,"I love you #houston #houstonstrong @ Houston, Texas https://t.co/TyHwW6maB1",Fri Sep 01 00:41:06 CDT 2017,"29.7629,-95.3832",hshouston,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903493081890033665,"8419 Saratoga Forest Dr, Houston, TX 77088, $160,000 3 beds, 2 baths https://t.co/Z21wEqYmvx",Fri Sep 01 00:41:51 CDT 2017,"29.88139915,-95.45439911",BLifeAcresHomes,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903493085190963200,Arson damages NW Houston thrift store https://t.co/Ij950758hw,Fri Sep 01 00:41:52 CDT 2017,"29.88139915,-95.45439911",BLifeAcresHomes,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903493254972227585,Magnolia Football working on return to action https://t.co/uunFyfHgjh,Fri Sep 01 00:42:32 CDT 2017,"29.91080093,-95.33789825",BLifeAldine,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903493784196890624,"#BAWSEMove: JUST DROPPED❗️ ""ALL ON ME"" b/ @IAmAishiaK is NOW STREAMING‼️   *Peep the 👉🏾link in… https://t.co/C9CieMrlUf",Fri Sep 01 00:44:38 CDT 2017,"29.7629,-95.3832",kevin_jarrell_,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
903494018000068609,"17727 Eavesdown Ct, Houston, TX 77095, $388,000 4 beds, 4 baths https://t.co/dxxp0mLx4x",Fri Sep 01 00:45:34 CDT 2017,"29.91449928,-95.65309906",BLifeCyFair,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),"
