901325057481478149,"🎮 * @GDAY1985 PS4 @ Alief, Houston https://t.co/B1mKAwsWxJ",gday houston,Sat Aug 26 01:06:54 CDT 2017,"29.71111111,-95.59638889",JusGday,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward
901325850083299328,New tape drippin soon nuthin but that flava 💧💦💦💦💧🙌  #bitchimready #fawkumean #flavaman… https://t.co/mdn5RUhMIC,new tape drippin soon nuthin flava,Sat Aug 26 01:10:03 CDT 2017,"29.7629,-95.3832",yungrook_tx,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901326845240541184,Forget about HURRICANE HARVEY! You should be more worried about the BLIZZARDS! #hurricane… https://t.co/mjCycsBn6p,forget hurricane harvey worry blizzard,Sat Aug 26 01:14:00 CDT 2017,"29.86040707,-95.64555856",YorktownDQ,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward
901327677906440193,Slit my throat.........if you ever see me faking 🔴 #ItsJustMello #barbershopconnect #barber… https://t.co/vkMP9TvekR,slit throatif ever see fake,Sat Aug 26 01:17:18 CDT 2017,"29.7629,-95.3832",MelloTheBarber,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901330146833031170,Join the Labatt Food Service team! See our latest #job opening here: https://t.co/eEkVfeJmnK #TruckDriver #Driver #Transportation #Hiring,join labatt food service team see latest opening,Sat Aug 26 01:27:07 CDT 2017,"29.7604267,-95.3698028",LabattFoodJobs,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward
901330258313576448,I love you the mostest - my beautiful sister!  And make up courtesy… https://t.co/FNA7ylN5jg,love most beautiful sister make courtesy,Sat Aug 26 01:27:34 CDT 2017,"29.77648973,-95.62030077",cwinker,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901330303557533696,"#texasturnup #birthday #hurricane party #relax @ Houston, Texas https://t.co/BtGnYjmLkJ",party texas,Sat Aug 26 01:27:44 CDT 2017,"29.7629,-95.3832",jonestrainer,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward
901331229395603456,🤷🏽‍♂️🤷🏽‍♂️😭😭 I ain't say it @ University of Houston https://t.co/seKM8NNpyu,aint say houston,Sat Aug 26 01:31:25 CDT 2017,"29.7188233,-95.3393318",TyBeezy11,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901332057368002561,Successful #people have a bigger fear of #failure than people who’ve never done anything because… https://t.co/sx4PhWfj3Q,successful bigger fear people whove never anything,Sat Aug 26 01:34:43 CDT 2017,"29.7629,-95.3832",kingeatgreedy,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",37,Greater Heights
901334249311281153,#remembering your 13 year old is still just a kid when he goes upstairs to get his blue bear… https://t.co/A3zrGzu3bh,year old still kid upstairs get blue bear,Sat Aug 26 01:43:25 CDT 2017,"29.9689,-95.6969",jamesjerobayo,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901335400198922240,Closed due to flooding in #Harris on Sam Houston Pkwy Frontage Rd Both EB/WB at Main St #traffic https://t.co/vuUN2yElDh,close due flooding sam houston pkwy frontage ebwb main,Sat Aug 26 01:48:00 CDT 2017,"29.62661,-95.51757",TotalTrafficHOU,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",53,East Houston
901335573159268352,#HurricaneHarvey best time to binge watch tv Shows. Found a 24 hour… https://t.co/Jj3uVHodua,best time binge watch show found hour,Sat Aug 26 01:48:41 CDT 2017,"29.72418314,-95.61990397",TheZWhite,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901336681168519168,Astros’ Collin McHugh treating starts with postseason mindset https://t.co/EoWjdsgejo https://t.co/uGioNgGe4b,astros collin mchugh treat start postseason mindset,Sat Aug 26 01:53:05 CDT 2017,"29.7285434,-95.457392",JohnnyNewsroom,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",37,Greater Heights
901338924777226240,"Pray for Texas! #harvey #hurricaneharvey #texas @ Houston, Texas https://t.co/LWW9cppmSt",pray texas texas,Sat Aug 26 02:02:00 CDT 2017,"29.7629,-95.3832",rezfreeinc,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901339113441419266,"Accident.  two left lanes blocked in #NorthSide on I-45 N Fwy NB at I-10, stop and go traffic back to Dallas St, delay of 3 mins #traffic",accident two left lane block fwy stop traffic back dallas delay min,Sat Aug 26 02:02:45 CDT 2017,"29.76941,-95.36525",TotalTrafficHOU,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",21,Greenway / Upper Kirby Area
901340346738724864,#MLB #AngelsAstros #FoxSportsWest #RootSportsSouthwest #SportsFan ⚾ @ Minute Maid Park https://t.co/5KxVxUeUs5,maid park,Sat Aug 26 02:07:39 CDT 2017,"29.75713279,-95.35548567",NelsonM291,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",-1,null
901340471640961025,El viaje mas corto de mi vida! #Houston #Texas #Harvey #Coldplay… https://t.co/YHsMHPFiEw,viaje corto vida,Sat Aug 26 02:08:09 CDT 2017,"29.7629,-95.3832",Angelita_RN,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward
901342273983528960,What it means to hunker down. We are potentially getting 40 inches of rain in #htown on the wet… https://t.co/bsnL2o8nDj,means hunker potentially getting inch rain wet,Sat Aug 26 02:15:18 CDT 2017,"29.555,-95.115",AndreaSilver_,Houston,"Houston, TX","(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),",1,Fourth Ward
